lab_mapping,short,OD,strain,time,sample
14-0-1,M9,0.184,TS,0,1
14-0-1,M9+Tween,0.229,TS,0,1
14-0-1,M9+Tween+CasA,0.235,TS,0,1
14-0-1,M9+adds,0.188,TS,0,1
14-0-1,M9+adds+CasA,0.212,TS,0,1
14-0-2,M9,0.186,TS,0,2
14-0-2,M9+Tween,0.218,TS,0,2
14-0-2,M9+Tween+CasA,0.233,TS,0,2
14-0-2,M9+adds,0.185,TS,0,2
14-0-2,M9+adds+CasA,0.208,TS,0,2
14-0-3,M9,0.179,TS,0,3
14-0-3,M9+Tween,0.205,TS,0,3
14-0-3,M9+Tween+CasA,0.206,TS,0,3
14-0-3,M9+adds,0.185,TS,0,3
14-0-3,M9+adds+CasA,0.223,TS,0,3
14-24-1,M9,0.226,TS,24,1
14-24-1,M9+Tween,0.388,TS,24,1
14-24-1,M9+Tween+CasA,2.63,TS,24,1
14-24-1,M9+adds,0.356,TS,24,1
14-24-1,M9+adds+CasA,1.404,TS,24,1
14-24-2,M9,0.289,TS,24,2
14-24-2,M9+Tween,0.397,TS,24,2
14-24-2,M9+Tween+CasA,1.74,TS,24,2
14-24-2,M9+adds,0.393,TS,24,2
14-24-2,M9+adds+CasA,1.55,TS,24,2
14-24-3,M9,0.344,TS,24,3
14-24-3,M9+Tween,0.408,TS,24,3
14-24-3,M9+Tween+CasA,1.72,TS,24,3
14-24-3,M9+adds,0.348,TS,24,3
14-24-3,M9+adds+CasA,1.49,TS,24,3
15-0-1,M9,0.226,1197,0,1
15-0-1,M9+Tween,0.225,1197,0,1
15-0-1,M9+Tween+CasA,0.21,1197,0,1
15-0-1,M9+adds,0.187,1197,0,1
15-0-1,M9+adds+CasA,0.204,1197,0,1
15-0-2,M9,0.21,1197,0,2
15-0-2,M9+Tween,0.227,1197,0,2
15-0-2,M9+Tween+CasA,0.329,1197,0,2
15-0-2,M9+adds,0.17,1197,0,2
15-0-2,M9+adds+CasA,0.193,1197,0,2
15-0-3,M9,0.211,1197,0,3
15-0-3,M9+Tween,0.211,1197,0,3
15-0-3,M9+Tween+CasA,0.213,1197,0,3
15-0-3,M9+adds,0.175,1197,0,3
15-0-3,M9+adds+CasA,0.191,1197,0,3
15-24-1,M9,1.079,1197,24,1
15-24-1,M9+Tween,0.466,1197,24,1
15-24-1,M9+Tween+CasA,1.71,1197,24,1
15-24-1,M9+adds,0.756,1197,24,1
15-24-1,M9+adds+CasA,2.754,1197,24,1
15-24-2,M9,1.024,1197,24,2
15-24-2,M9+Tween,0.614,1197,24,2
15-24-2,M9+Tween+CasA,1.97,1197,24,2
15-24-2,M9+adds,0.716,1197,24,2
15-24-2,M9+adds+CasA,2.548,1197,24,2
15-24-3,M9,0.99,1197,24,3
15-24-3,M9+Tween,0.459,1197,24,3
15-24-3,M9+Tween+CasA,1.65,1197,24,3
15-24-3,M9+adds,0.685,1197,24,3
15-24-3,M9+adds+CasA,2.458,1197,24,3
16-0-1,M9,0.199,1115,0,1
16-0-1,M9+Tween,0.227,1115,0,1
16-0-1,M9+Tween+CasA,0.245,1115,0,1
16-0-1,M9+adds,0.186,1115,0,1
16-0-1,M9+adds+CasA,0.199,1115,0,1
16-0-2,M9,0.211,1115,0,2
16-0-2,M9+Tween,0.259,1115,0,2
16-0-2,M9+Tween+CasA,0.275,1115,0,2
16-0-2,M9+adds,0.189,1115,0,2
16-0-2,M9+adds+CasA,0.202,1115,0,2
16-0-3,M9,0.212,1115,0,3
16-0-3,M9+Tween,0.256,1115,0,3
16-0-3,M9+Tween+CasA,0.286,1115,0,3
16-0-3,M9+adds,0.186,1115,0,3
16-0-3,M9+adds+CasA,0.203,1115,0,3
16-24-1,M9,0.262,1115,24,1
16-24-1,M9+Tween,0.405,1115,24,1
16-24-1,M9+Tween+CasA,1.76,1115,24,1
16-24-1,M9+adds,0.678,1115,24,1
16-24-1,M9+adds+CasA,2.056,1115,24,1
16-24-2,M9,0.293,1115,24,2
16-24-2,M9+Tween,0.443,1115,24,2
16-24-2,M9+Tween+CasA,2.19,1115,24,2
16-24-2,M9+adds,0.593,1115,24,2
16-24-2,M9+adds+CasA,2.144,1115,24,2
16-24-3,M9,0.298,1115,24,3
16-24-3,M9+Tween,0.417,1115,24,3
16-24-3,M9+Tween+CasA,2.12,1115,24,3
16-24-3,M9+adds,0.542,1115,24,3
16-24-3,M9+adds+CasA,2.141,1115,24,3
17-0-1,M9,0.238,1116,0,1
17-0-1,M9+Tween,0.256,1116,0,1
17-0-1,M9+Tween+CasA,0.228,1116,0,1
17-0-1,M9+Tween+nac,0.189,1116,0,1
17-0-1,M9+Tween+nac+CasA,0.184,1116,0,1
17-0-1,M9+adds,0.196,1116,0,1
17-0-1,M9+adds+CasA,0.295,1116,0,1
17-0-2,M9,0.196,1116,0,2
17-0-2,M9+Tween,0.214,1116,0,2
17-0-2,M9+Tween+CasA,0.214,1116,0,2
17-0-2,M9+Tween+nac,0.206,1116,0,2
17-0-2,M9+Tween+nac+CasA,0.197,1116,0,2
17-0-2,M9+adds,0.202,1116,0,2
17-0-2,M9+adds+CasA,0.2,1116,0,2
17-0-3,M9,0.234,1116,0,3
17-0-3,M9+Tween,0.224,1116,0,3
17-0-3,M9+Tween+CasA,0.219,1116,0,3
17-0-3,M9+Tween+nac,0.19,1116,0,3
17-0-3,M9+Tween+nac+CasA,0.193,1116,0,3
17-0-3,M9+adds,0.187,1116,0,3
17-0-3,M9+adds+CasA,0.203,1116,0,3
17-24-1,M9,0.592,1116,24,1
17-24-1,M9+Tween,0.594,1116,24,1
17-24-1,M9+Tween+CasA,1.59,1116,24,1
17-24-1,M9+Tween+nac,2.23,1116,24,1
17-24-1,M9+Tween+nac+CasA,2.16,1116,24,1
17-24-1,M9+adds,0.362,1116,24,1
17-24-1,M9+adds+CasA,1.302,1116,24,1
17-24-2,M9,0.486,1116,24,2
17-24-2,M9+Tween,0.297,1116,24,2
17-24-2,M9+Tween+CasA,1.27,1116,24,2
17-24-2,M9+Tween+nac,2.57,1116,24,2
17-24-2,M9+Tween+nac+CasA,2.61,1116,24,2
17-24-2,M9+adds,0.32,1116,24,2
17-24-2,M9+adds+CasA,1.122,1116,24,2
17-24-3,M9,0.587,1116,24,3
17-24-3,M9+Tween,0.772,1116,24,3
17-24-3,M9+Tween+CasA,2.36,1116,24,3
17-24-3,M9+Tween+nac,2.57,1116,24,3
17-24-3,M9+Tween+nac+CasA,2.22,1116,24,3
17-24-3,M9+adds,0.307,1116,24,3
17-24-3,M9+adds+CasA,1.083,1116,24,3
